prop_name,prop_type,street,zipcode,bathroom,bedroom
Private Room and Bath Near GG Park,Apartment,"Waller Street, San Francisco, CA 94117, United States",94117,1,1
Sweet Edwardian NOPA 3Bd w/Views,Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,1,3
"NOPA, 2 Bedroom, Centrally Located",Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,1,2
2 BR/1 B Perfect for Super Bowl 50!,Apartment,"Baker Street, San Francisco, CA 94117, United States",94117,1,2
Quiet condo in NOPA neighborhood,Condominium,"Hayes Street, San Francisco, CA 94117, United States",94117,1.5,2
Room in sunny home with porch!,Apartment,"Belvedere St, San Francisco, CA 94117, United States",94117,1,1
"Awesome spacious room on Fulton ""Q""",Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,2,1
"Fulton room close to everything ""T""",Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,2,1
Charming carriage house in Haight,Bungalow,"Page Street, San Francisco, CA 94117, United States",94117,1,0
The Best Spot In San Francisco,House,"Haight Street, San Francisco, CA 94117, United States",94117,1,2
Exclusive Loft in Victorian House,Apartment,"Oak Street, San Francisco, CA 94117, United States",94117,2,2
"Cozy, Comfortable, Clean and Quiet Haight Home",Apartment,"Delmar Street, San Francisco, CA 94117, United States",94117,1,1
Room Available in Cole Valley,House,"Clayton Street, San Francisco, CA 94117, United States",94117,1,1
Gorgeous Large Victorian NOPA Home ,House,"Hayes Street, San Francisco, CA 94117, United States",94117,1.5,3
Stunning Victorian Penthouse,Apartment,"Baker Street, San Francisco, CA 94117, United States",94117,2,2
In the Heart of Haight/Ashbury # 5,Apartment,"Page Street, San Francisco, CA 94117, United States",94117,,1
Private Bath & Entrance near UCSF,House,"Beulah Street, San Francisco, CA 94117, United States",94117,1,1
4 BR Victorian-1 blk from Shopping!,Apartment,"Page Street, San Francisco, CA 94117, United States",94117,2.5,4
Huge Victorian Room In the ❤ Of SF!,House,"Haight Street, San Francisco, CA 94117, United States",94117,1,1
Private Room in Sunny Victorian ,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,1.5,1
Bedroom in Beautiful Victorian,Townhouse,"Broderick Street, San Francisco, CA 94117, United States",94117,1.5,1
Eclectic Queen Anne Victorian NOPA,Apartment,"Fulton St, San Francisco, CA 94117, United States",94117,1,3
Cole Valley Dream,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,1,2
Cole Valley Charm!,Apartment,"Carl Street, San Francisco, CA 94117, United States",94117,1.5,1
Spacious room in center of the city,House,"Grove Street, San Francisco, CA 94117, United States",94117,1,1
"Big apt, amazing views, huge deck!",Apartment,"Stanyan Street, San Francisco, CA 94117, United States",94117,1,2
CAMPER Available - Bring Your Guests Next To YOU!,Camper/RV,"Stanyan Street, San Francisco, CA 94117, United States",94117,1,2
Spacious Apartment  Haight Ashbury,Apartment,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,1
Charming Victorian in NOPA,Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,1,2
Great Duboce Park Garden Apartment,Apartment,"A Castro Street, San Francisco, CA 94114, United States",94114,1,1
Upper Terrace Cottage,House,"Upper Terrace, San Francisco, CA 94117, United States",94117,1,1
Gorgous 2 bedrm Condo in SF close to park,Condominium,"Clayton Street, San Francisco, CA 94117, United States",94117,2,3
Cute one bedroom in Cole Valley!,Condominium,"Parnassus Avenue, San Francisco, CA 94117, United States",94117,1,1
Spacious Stylish Upper Market Home,House,"Corbett Avenue, San Francisco, CA 94114, United States",94114,1,1
Haight Owner-Designer Apt w/Parking,Apartment,"Page Street, San Francisco, CA 94117, United States",94117,1,1
A Friendly Hotel,Apartment,"Carl St, San Francisco, CA 94117, United States",94117,4,1
Victorian Living in San Francisco,Apartment,"Golden Gate Avenue, San Francisco, CA 94115, United States",94115,1,1
Experience San Francisco in Style!,House,"Waller St, San Francisco, CA 94117, United States",94117,2.5,3
garden retreat,House,"Divisadero Street, San Francisco, CA 94117, United States",94117,1,1
Beautiful and spacious NoPa home,House,"Hayes Street, San Francisco, CA 94117, United States",94117,2.5,4
3BR/2BA Cole Valley-public transit,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,2,3
Charming sf studio,Apartment,"Page St, San Francisco, CA 94117, United States",94117,1,1
"Beautiful Spot, BBQ patio & parking",Apartment,"Central Avenue, San Francisco, CA 94117, United States",94117,1,1
"Baby ready, spacious Victorian",Apartment,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,2
Haight Ashbury Experience Room 2,House,"Clayton Street, San Francisco, CA 94117, United States",94117,2,1
Lovely room in Haight Ashbury,Apartment,"San Francisco, CA, United States",,0.5,1
Sunny Queen in a restored Edwardian,House,"Hayes Street, San Francisco, CA 94117, United States",94117,1.5,1
Beautifully 1880's Victorian,House,"Broderick Street, San Francisco, CA 94117, United States",94117,4.5,5
Chic Modern Cole Valley Apartment ,Apartment,"Clayton Street, San Francisco, CA 94117, United States",94117,1,1
Casa Magnifico entire unit 2nd fl,House,"17th Street, San Francisco, CA 94117, United States",94117,1,2
Luxury 2BR in Haight Ashbury Dist-Buena Vista Park,Apartment,"Haight Street, San Francisco, CA 94117, United States",94117,1,2
Private Garden Studio near UCSF,House,"Beulah St, San Francisco, CA 94117, United States",94117,1,1
Lovely Victorian Two Room Suite,House,"Baker Street, San Francisco, CA 94117, United States",94117,1,1
Huge room in Haight - $ negotiable,Apartment,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,1
3BR/2BA central Cole Valley condo 1500 sf,Apartment,"Clayton Street, San Francisco, CA 94114, United States",94114,2,3
Bright Nopa Top Story room in 2 bedroom Apt,Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,1,2
Live Like a Local 1 Bedroom Flat,Apartment,"Baker St, San Francisco, CA 94117, United States",94117,1,1
Haight Ashbury 2BR 1BA Victorian,Apartment,"Haight Street, San Francisco, CA 94117, United States",94117,1,1
Beautiful flat in SF,Apartment,"Page Street, San Francisco, CA 94117, United States",94117,1,1
Cole Valley Smart and Stylish Suite,House,"Downey Street, San Francisco, CA 94117, United States",94117,1,1
A little Peace 'N Haightven,House,"Haight Street, San Francisco, CA 94117, United States",94117,1,1
Newly Renovated 2 BR Flat,Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,1,2
Sunny/Sunset view room,Apartment,"Ashbury St, San Francisco, CA 94117, United States",94117,4,1
"Sunny, spacious room in the Haight",Apartment,"Clayton Street, San Francisco, CA 94117, United States",94117,1,1
Iconic Haight St Apt Bordering Golden Gate Park!,Apartment,"Stanyan Street, San Francisco, CA 94117, United States",94117,1,1
Private Master Bedroom + Bathroom!,Apartment,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,1
Beautiful 1BD Apartment in Nopa,Apartment,"Broderick Street, San Francisco, CA 94117, United States",94117,1,1
A Room in a Beautiful Victorian Flat,Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,1,1
2 bedroom in great SF neighborhood,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,1,2
Cozy and comfortable studio,Apartment,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,0
"Charming, sunny room!",Apartment,"Baker Street, San Francisco, CA 94117, United States",94117,1,1
Haight Ashbury Experience Room 5,House,"Clayton Street, San Francisco, CA 94117, United States",94117,2,1
Bedroom in stylish NOPA flat,Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,1,1
Peaceful Apartment in the Panhandle,Condominium,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1.5,2
Top floor Penthouse,House,"17th Street, San Francisco, CA 94117, United States",94117,1,2
"Modern, Spacious 3BR for Super Bowl",Apartment,"Stanyan Street, San Francisco, CA 94117, United States",94117,2,3
4 bedroom Edwardian flat in NOPA!,House,"Hayes Street, San Francisco, CA 94117, United States",94117,1.5,4
Beautiful Two Story Victorian Condo,Apartment,"Waller Street, San Francisco, CA 94117, United States",94117,2,3
Chic Master with Private Bath NOPA,Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,1,1
Stay in Super Sweet Cole Valley/Haight Apartment,Apartment,"Waller Street, San Francisco, CA 94117, United States",94117,1,1
Tree-house Hideaway in the Haight,Apartment,"Baker Street, San Francisco, CA 94117, United States",94117,1,1
3 rooms in ex-b&b in the ❤️ of S.F.,House,"Belvedere Street, San Francisco, CA 94117, United States",94117,2,3
Most Cheerful in Cole Valley,Apartment,"Stanyan Street, San Francisco, CA 94117, United States",94117,1,0
Charming spacious room in Victorian house,House,"Divisadero St, San Francisco, CA 94117, United States",94117,1,1
In the heart of Haight/Ashbury # 3,Apartment,"Page Street, San Francisco, CA 94117, United States",94117,1.5,1
Room in Historic SF,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,1.5,1
Private BR near USF & GGate Park,Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,1,1
Haight Ashbury Experience Room 3,House,"Clayton St, San Francisco, CA 94117, United States",94117,2,1
ZEN HOME - with garage for parking,Apartment,"a Broderick Street, San Francisco, CA 94117, United States",94117,1,1
Haight & Cole Valley Top Floor Home,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,1,2
Rent our home for the holidays,Apartment,"Twin Peaks Boulevard, San Francisco, CA 94114, United States",94114,1.5,2
Redwood Cottage on Ashbury Heights,House,"Belgrave Ave, San Francisco, CA 94117, United States",94117,1,2
Sunny two bedroom victorian.,Apartment,"a Cole Street, San Francisco, CA 94117, United States",94117,1,2
Clayton Street Manor,House,"Clayton Street, San Francisco, CA 94117, United States",94117,1,1
Sunny Victorian on Historic Haight,Apartment,"Haight Street, San Francisco, CA 94117, United States",94117,1,1
Private Room in NOPA (great area with lots to do!),Apartment,"McAllister Street, San Francisco, CA 94115, United States",94115,1,1
Cosy 2 rooms in gorgeous Victorian building,Apartment,"Page Street, San Francisco, CA 94117, United States",94117,1.5,1
Central San Francisco luxury,Apartment,"Clayton Street, San Francisco, CA 94117, United States",94117,2,2
Cute Cole Valley Cottage w/ Views,House,"Carmel St, San Francisco, CA 94117, United States",94117,1,2
Sunny Quiet Condo Close to GG Park,Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,1.5,2
