availability_365,availability_30,availability_60,availability_90
35,10,20,25
339,11,38,68
132,15,32,58
40,8,12,12
116,9,22,26
80,21,51,80
158,9,39,69
177,28,58,88
54,3,25,54
307,14,36,60
30,5,5,5
284,0,0,9
51,10,22,51
75,16,46,75
325,2,20,50
139,8,25,51
341,13,36,66
167,18,48,78
64,1,1,1
92,21,51,76
253,0,19,19
25,23,25,25
306,23,53,65
151,15,38,62
344,18,41,69
144,11,27,55
291,16,36,60
198,0,15,45
65,5,34,64
93,0,0,0
145,0,26,56
99,15,39,69
155,12,14,14
238,19,24,24
329,15,37,58
74,15,45,74
326,14,42,61
32,0,10,25
340,10,35,65
67,14,37,67
5,0,0,5
117,0,0,27
28,11,17,28
276,12,19,47
41,16,40,41
297,0,0,27
62,0,8,8
24,7,13,24
45,0,15,45
191,3,16,34
63,3,33,63
43,10,10,17
144,0,0,0
145,24,54,84
171,24,51,81
339,23,53,72
37,0,7,37
5,0,0,0
72,17,42,72
96,0,2,4
52,3,22,52
97,12,31,61
130,10,17,47
17,0,3,17
1,0,0,0
44,3,10,17
344,10,40,70
340,17,44,69
64,25,55,64
57,8,27,57
358,29,59,89
185,8,23,51
78,23,50,78
337,19,42,67
349,22,44,74
60,8,16,31
239,0,0,0
299,15,15,27
296,10,31,46
67,0,0,2
355,24,52,82
163,28,43,73
35,9,23,35
247,2,2,2
152,0,0,0
189,15,29,57
69,2,12,23
312,9,9,37
229,30,46,76
349,17,47,77
101,20,41,71
213,0,0,0
109,13,17,39
22,11,22,22
12,5,11,12
334,19,29,59
25,5,15,25
62,9,36,62
260,8,21,46
57,0,0,0
42,4,16,42
290,18,43,64
335,22,45,64
180,12,38,68
272,0,0,0
40,3,8,15
268,5,5,22
38,0,9,38
324,20,50,80
98,12,17,17
299,6,24,24
332,29,31,57
145,9,24,54
111,0,0,0
9,0,0,0
88,0,0,27
351,19,49,79
127,0,0,0
229,6,12,32
328,11,24,54
281,5,5,6
233,14,15,16
151,1,7,12
90,29,59,89
189,6,36,66
198,0,0,0
340,11,41,71
278,15,41,67
320,1,29,59
329,11,24,54
129,4,23,48
129,19,39,64
28,5,28,28
21,20,21,21
340,17,47,77
346,15,43,71
313,23,53,83
63,22,38,62
308,26,56,84
123,5,14,14
322,16,37,63
40,12,26,40
353,24,54,84
352,21,47,77
60,1,30,60
287,10,18,47
326,7,37,65
276,9,29,56
249,15,27,40
286,0,12,28
347,25,55,83
318,9,35,57
341,6,36,66
348,15,44,74
334,18,35,59
142,5,28,52
56,27,56,56
49,11,25,38
13,13,13,13
281,19,35,55
25,0,0,0
129,4,33,63
359,27,54,84
211,0,5,6
361,30,60,90
148,0,9,9
152,11,32,62
259,20,49,49
84,0,0,23
12,0,6,12
116,0,2,32
295,5,5,23
358,26,56,86
12,9,10,12
352,21,51,81
353,22,52,82
49,0,23,49
279,23,48,78
194,0,0,0
302,7,7,35
160,16,40,70
354,22,49,79
276,11,31,54
29,25,29,29
51,7,25,51
134,2,14,44
349,24,54,80
63,2,32,62
211,0,19,29
44,12,18,44
273,12,40,53
154,18,35,65
316,5,25,47
67,21,38,67
223,6,16,16
64,13,39,64
47,0,18,47
59,28,30,59
347,21,44,74
275,0,0,9
52,5,23,52
257,12,26,47
72,18,42,72
65,5,35,65
358,25,55,83
334,8,33,59
319,12,42,46
8,7,7,8
178,28,58,88
210,5,15,25
105,16,35,61
70,10,40,70
145,13,28,55
158,23,41,68
7,2,3,7
161,20,20,20
75,5,27,44
347,18,48,72
297,0,0,26
256,2,2,2
295,23,53,83
317,0,12,42
132,0,12,42
58,0,0,0
275,14,14,14
151,0,0,18
321,21,21,46
344,17,42,72
138,22,22,48
49,20,49,49
321,29,59,89
296,14,25,54
335,11,30,60
342,22,50,80
90,0,21,22
184,7,7,7
256,30,45,45
331,7,26,56
183,0,0,0
128,17,17,38
174,24,54,84
346,21,41,71
350,19,49,79
317,9,12,42
115,8,17,35
149,6,29,59
149,15,35,65
334,2,29,59
298,8,19,43
334,10,29,59
138,22,52,82
