number_of_reviews,reviews_score_rating,reviews_per_month
106,85,5.86
9,93,0.77
11,96,0.35
71,97,6.59
42,98,2.86
17,99,0.42
21,97,0.78
24,98,1.37
32,95,6.44
80,99,4.76
10,83,0.19
11,100,0.17
2,90,1.2
44,96,3.66
6,93,0.19
2,90,0.9
5,84,0.56
3,100,0.37
25,95,1.62
12,90,0.42
70,99,1.13
136,98,2.45
176,97,2.38
123,95,4.15
10,96,0.25
17,89,1.85
4,90,0.11
33,93,2.56
78,99,2.47
193,95,3
4,85,1.56
63,96,5.83
3,100,0.25
22,90,0.99
6,90,0.33
69,99,2.77
211,95,2.62
2,100,0.34
351,95,6.46
3,93,0.19
177,98,5.95
4,95,1.17
4,100,1.58
3,93,0.78
84,97,6.81
6,97,1.67
3,90,0.57
11,96,0.43
27,97,1.75
14,99,1.19
1,100,0.12
29,99,1.9
1,80,0.19
58,100,2.14
17,96,0.86
19,92,1.88
5,100,0.24
13,94,0.72
188,98,5.07
12,89,2.83
9,93,0.7
37,94,1.55
64,94,3.07
7,97,0.13
112,98,3.84
14,97,0.93
8,98,0.95
15,93,7.03
13,100,1.29
46,88,2.79
56,92,2.18
18,97,1.86
10,84,0.56
6,100,0.92
4,95,0.88
34,97,3.11
62,99,1.5
49,93,1.72
2,90,0.13
1,100,0.28
30,94,0.71
4,95,0.9
4,100,1.56
1,100,0.81
20,96,0.26
71,99,1.9
3,100,0.99
39,92,1.59
135,97,3.9
13,97,0.55
187,96,3.41
20,97,5.5
67,92,1.21
66,98,4.25
9,100,3.1
131,95,6.96
35,99,3.62
144,98,2.81
5,100,0.17
3,100,1.25
13,95,0.98
19,93,1.21
42,99,1.23
5,80,1.95
163,86,8.67
14,97,0.83
21,100,1.2
146,95,2.85
138,96,3.43
72,95,1.2
42,99,3.57
4,95,0.25
5,100,0.13
11,98,0.26
90,96,6.78
45,98,4.46
8,98,1.76
5,100,0.45
8,95,2.02
12,98,0.58
5,96,1.67
189,96,5.91
123,80,3.8
7,91,2.84
3,93,0.91
4,95,0.39
35,91,1.39
75,97,3.22
11,96,4.23
11,96,4.52
71,98,1.05
75,97,1.81
1,100,0.17
15,100,1.61
2,100,1.02
15,100,5.11
25,91,1.27
12,98,0.88
19,95,0.29
117,99,1.99
83,94,5.18
6,83,0.22
4,100,0.29
7,100,0.64
2,80,0.68
21,88,0.97
12,97,0.9
8,100,3.38
162,94,2.88
125,97,2.36
37,91,1.57
26,93,4.48
244,98,3.51
3,100,0.57
7,91,0.12
